frame,phase,occluded,blurred,gt_x,gt_y,gt_w,gt_h,py_x,py_y,py_w,py_h,py_err,py_iou,py_ms,py_ram_mb,py_status,cpp_x,cpp_y,cpp_w,cpp_h,cpp_err,cpp_iou,cpp_ms,cpp_ram_mb,cpp_status
126,Agile ZigZag,True,False,243,196,60,60,238,197,47,58,11.5,0.626,57.59,309.9,TRACKED,248,202,54,49,2.06,0.735,53.6,357.8,TRACKED
127,Agile ZigZag,True,False,247,190,60,60,243,193,40,63,14.71,0.504,57.03,309.9,TRACKED,239,204,45,56,19.6,0.385,53.27,357.8,TRACKED
128,Agile ZigZag,True,False,244,197,60,60,239,194,36,67,17.01,0.448,57.73,309.9,TRACKED,244,193,39,61,11.07,0.592,53.35,357.8,TRACKED
129,Agile ZigZag,True,False,247,182,60,60,245,183,33,69,16.45,0.452,57.06,309.9,TRACKED,240,193,35,67,24.3,0.3,54.73,357.8,TRACKED
130,Agile ZigZag,True,True,249,196,60,60,246,190,31,70,17.53,0.411,57.29,309.9,TRACKED,242,183,33,66,22.81,0.313,53.7,357.8,TRACKED
131,Agile ZigZag,True,False,249,188,60,60,245,188,28,70,20.62,0.35,58.34,309.9,TRACKED,244,191,31,67,20.55,0.353,53.53,357.8,TRACKED
132,Agile ZigZag,True,False,250,184,60,60,245,180,26,71,22.05,0.301,59.1,309.9,TRACKED,245,188,28,69,22.66,0.303,53.7,357.8,TRACKED
133,Agile ZigZag,True,False,253,183,60,60,249,178,25,72,21.52,0.304,59.28,309.9,TRACKED,245,180,26,71,25.12,0.247,55.25,357.8,TRACKED
134,Agile ZigZag,True,False,256,184,60,60,250,178,24,72,24.0,0.254,58.3,309.9,TRACKED,250,179,25,71,23.51,0.269,53.57,357.8,TRACKED
135,Agile ZigZag,True,True,265,182,60,60,261,176,24,72,22.0,0.291,65.28,309.9,TRACKED,251,178,23,72,32.56,0.115,55.08,357.8,TRACKED
136,Agile ZigZag,True,False,258,181,60,60,254,175,23,72,22.5,0.277,65.78,309.9,TRACKED,257,177,24,71,19.06,0.352,56.08,357.8,TRACKED
137,Agile ZigZag,True,False,257,172,60,60,207,186,32,62,65.73,0.0,67.36,309.9,TRACKED,252,178,23,71,26.16,0.228,55.97,357.8,TRACKED
138,Agile ZigZag,True,False,260,171,60,60,203,194,40,53,69.78,0.0,62.76,309.9,TRACKED,208,187,31,63,68.76,0.0,56.24,357.8,TRACKED
139,Agile ZigZag,True,False,255,164,60,60,195,194,45,48,71.64,0.0,61.19,309.9,TRACKED,204,194,39,54,67.17,0.0,55.58,357.8,TRACKED
140,Agile ZigZag,True,True,261,170,60,60,198,206,52,43,72.42,0.0,61.31,309.9,TRACKED,195,193,44,49,76.04,0.0,55.51,357.8,TRACKED
141,Agile ZigZag,True,False,268,165,60,60,202,205,54,41,75.44,0.0,61.82,309.9,TRACKED,198,205,51,44,81.08,0.0,55.75,357.8,TRACKED
142,Agile ZigZag,True,False,267,157,60,60,197,202,55,40,80.51,0.0,62.65,309.9,TRACKED,202,204,53,42,78.33,0.0,54.57,357.8,TRACKED
143,Agile ZigZag,True,False,268,151,60,60,197,201,55,39,83.44,0.0,60.69,309.9,TRACKED,197,199,52,42,84.53,0.0,53.43,357.8,TRACKED
144,Agile ZigZag,True,False,267,147,60,60,196,201,56,38,84.72,0.0,71.62,309.9,TRACKED,200,200,54,40,82.15,0.0,53.43,357.8,TRACKED
145,Agile ZigZag,True,True,270,148,60,60,200,207,59,37,85.01,0.0,62.84,309.9,TRACKED,195,201,54,39,88.83,0.0,53.46,357.8,TRACKED
146,Agile ZigZag,True,False,268,138,60,60,195,202,59,36,90.03,0.0,59.21,309.9,TRACKED,199,206,58,38,90.27,0.0,54.06,357.8,TRACKED
147,Agile ZigZag,True,False,271,131,60,60,194,199,59,36,95.62,0.0,58.43,309.9,TRACKED,193,202,58,37,98.9,0.0,57.01,357.8,TRACKED
148,Agile ZigZag,True,False,279,129,60,60,201,202,59,36,99.41,0.0,59.3,309.9,TRACKED,193,200,58,37,105.4,0.0,54.18,357.8,TRACKED
